id,function,level,question,option_a,option_b,option_c,correct,feedback_correct,feedback_wrong
1,"Contrast","B2+","He kept working ___ feeling exhausted.","although","despite","because","a","Correct. 'Although' introduces a contrast clause.","Incorrect. You need a contrast conjunction."
2,"Contrast","B2+","___ the weather was terrible they went hiking.","Despite","Although","Because","b","Correct. 'Although' is followed by a full clause.","Incorrect. 'Despite' cannot be followed by a clause."
3,"Purpose","C1","She whispered ___ no one else could hear.","so that","in order to","because","a","Correct. 'So that' introduces a purpose clause.","Incorrect. The option does not express purpose."
4,"Purpose","B2+","He spoke quietly ___ avoid waking the baby.","to","so that","although","a","Correct. 'To plus infinitive' expresses purpose.","Incorrect. Only 'to' fits grammatically."
5,"Reason","B2+","He stayed at home ___ he was feeling ill.","because","although","despite","a","Correct. 'Because' introduces a reason.","Incorrect. The sentence needs a reason."
6,"Concession","C1","___ he had little experience he performed extremely well.","Even though","Because","So that","a","Correct. 'Even though' expresses strong concession.","Incorrect. This sentence requires concession."
7,"Condition","B2+","You won’t pass the exam ___ you practise regularly.","unless","although","because","a","Correct. 'Unless' means if not.","Incorrect. The condition is essential."
8,"Time","B2+","I realised my mistake ___ I reread the email.","while","when","although","b","Correct. 'When' marks a specific moment.","Incorrect. This is not contrast."
9,"Addition","C1","He is highly qualified; ___ he has years of experience.","moreover","although","otherwise","a","Correct. 'Moreover' adds information.","Incorrect. The sentence needs addition."
10,"Result","B2+","The train was delayed ___ we arrived late.","because","so","although","b","Correct. 'So' introduces a result.","Incorrect. This expresses consequence."
11,"Emphasis","C1","It was ___ difficult that many students failed.","so","such","very","a","Correct. 'So plus adjective' expresses emphasis.","Incorrect. The structure is incorrect."
12,"Contrast","C1","She accepted the job ___ the low salary.","although","despite","because","b","Correct. 'Despite' is followed by a noun phrase.","Incorrect. Wrong grammatical form."
13,"Purpose","C1","The instructions were simplified ___ users would not get confused.","so that","because","despite","a","Correct. This is a purpose clause.","Incorrect. The meaning is not purpose."
14,"Condition","B2+","___ you hurry you will miss the bus.","Unless","If","Despite","b","Correct. 'If' introduces a real condition.","Incorrect. The condition is positive."
15,"Time","C1","Hardly had he arrived ___ it started raining.","than","when","that","a","Correct. Fixed inversion structure.","Incorrect. This expression is fixed."
16,"Contrast","B2+","I like the idea; ___ it might be too expensive.","however","because","therefore","a","Correct. 'However' signals contrast.","Incorrect. This is not cause or result."
17,"Reason","C1","The match was cancelled ___ heavy rain.","because of","although","so that","a","Correct. 'Because of' is followed by a noun phrase.","Incorrect. Wrong structure."
18,"Condition","C1","___ he had studied more he would have passed.","If","Unless","Provided","a","Correct. Second conditional form.","Incorrect. Wrong conditional meaning."
19,"Addition","B2+","She speaks French and ___ Italian.","too","although","unless","a","Correct. 'Too' adds information.","Incorrect. This is not contrast."
20,"Purpose","C1","This button is hidden ___ prevent accidental clicks.","to","in order that","because","a","Correct. Infinitive expresses purpose.","Incorrect. Clause unnecessary here."
21,"Contrast","C1","Much ___ I respect him I disagree.","as","although","because","a","Correct. 'Much as' expresses formal contrast.","Incorrect. This is a fixed structure."
22,"Result","B2+","The explanation was unclear; ___ many students were confused.","therefore","however","although","a","Correct. 'Therefore' shows result.","Incorrect. This is consequence."
23,"Time","C1","No sooner had she spoken ___ she regretted it.","than","when","that","a","Correct. Fixed inversion expression.","Incorrect. Formulaic structure required."
24,"Condition","B2+","You can stay here ___ you behave responsibly.","as long as","although","despite","a","Correct. 'As long as' expresses condition.","Incorrect. This is not contrast."
25,"Reason","C1","His success was largely ___ hard work.","due to","although","so that","a","Correct. 'Due to' introduces cause.","Incorrect. Wrong connector."
26,"Contrast","B2+","___ being tired she kept studying.","Despite","Although","Because","a","Correct. 'Despite' plus gerund.","Incorrect. Clause form is wrong."
27,"Purpose","C1","He slowed down ___ the children could keep up.","so that","despite","unless","a","Correct. Purpose with modal verb.","Incorrect. This expresses intention."
28,"Addition","C1","The plan is risky; ___ it could be very profitable.","moreover","nevertheless","otherwise","a","Correct. 'Moreover' adds reinforcement.","Incorrect. This is not contrast."
29,"Time","B2+","I was cooking ___ he was setting the table.","while","although","because","a","Correct. 'While' expresses simultaneity.","Incorrect. This is not contrast."
30,"Condition","C1","You may borrow the car ___ that you return it by six.","provided","because","although","a","Correct. Formal conditional phrase.","Incorrect. Fixed expression needed."
31,"Contrast","C1","Be ___ as he may he never complains.","that","it","what","a","Correct. Fixed concessive structure.","Incorrect. This pattern is fixed."
32,"Purpose","B2+","She left early ___ catch the first train.","to","so","because","a","Correct. Infinitive of purpose.","Incorrect. Purpose not expressed."
33,"Reason","C1","The delay was ___ a technical failure.","the result of","although","so that","a","Correct. Noun phrase of cause.","Incorrect. Wrong connector."
34,"Condition","B2+","___ you don’t revise you will fail.","If","Unless","Provided","a","Correct. First conditional.","Incorrect. Meaning changes."
35,"Result","C1","So convincing ___ his argument that no one objected.","was","were","is","a","Correct. Inverted result clause.","Incorrect. Inversion required."
36,"Contrast","B2+","I admire her ___ her arrogance.","despite","although","because","a","Correct. 'Despite' plus noun.","Incorrect. Clause required."
37,"Time","C1","Scarcely had we arrived ___ the meeting began.","when","than","that","a","Correct. Fixed inversion with 'scarcely'.","Incorrect. Formula required."
38,"Purpose","C1","The warning was issued ___ people would stay indoors.","so that","because","although","a","Correct. Purpose clause.","Incorrect. Wrong meaning."
39,"Addition","B2+","He not only apologised ___ offered compensation.","but also","although","unless","a","Correct. Correlative conjunction.","Incorrect. Fixed pair required."
40,"Condition","C1","___ circumstances change we will proceed as planned.","Unless","If","Provided","a","Correct. Formal condition.","Incorrect. Meaning differs."
41,"Contrast","C1","For all ___ intelligence he lacks empathy.","his","that","which","a","Correct. Fixed concessive phrase.","Incorrect. Structure is fixed."
42,"Reason","B2+","She was promoted ___ her excellent performance.","due to","although","unless","a","Correct. Cause expressed.","Incorrect. Not contrast."
43,"Time","C1","Only after the exam ___ how hard it was.","did I realise","I realised","had I realised","a","Correct. Inversion after 'only'.","Incorrect. Inversion required."
44,"Purpose","B2+","They whispered ___ they wouldn’t be heard.","so that","although","because","a","Correct. Purpose clause.","Incorrect. Wrong connector."
45,"Addition","C1","The project was delayed; ___ it exceeded the budget.","furthermore","however","otherwise","a","Correct. Adds information.","Incorrect. Not contrast."
46,"Condition","B2+","You can’t enter ___ you show ID.","unless","although","because","a","Correct. 'Unless' = if not.","Incorrect. Condition needed."
47,"Result","C1","Such was the noise ___ we couldn’t concentrate.","that","when","as","a","Correct. Inverted result clause.","Incorrect. Fixed structure."
48,"Contrast","C1","However ___ it may seem the plan is workable.","unlikely","unlikely that","it unlikely","a","Correct. Formal concessive pattern.","Incorrect. Structure incorrect."
49,"Reason","C1","Her resignation came ___ no surprise.","as","with","to","c","Correct. Fixed expression.","Incorrect. Collocation required."
50,"Time","B2+","By the time we arrived the show ___ started.","had","has","was","a","Correct. Past perfect for earlier action.","Incorrect. Wrong tense."
